# Mvir[M_sun/h] sigma(M,0) sigma(0.5M,0) z D(z) D(z_f,peak) c_vir_sim c_vir_eps c_vir_eps2
8.348000e+12 1.521639 1.709778 0.0000 1.000000 0.639939 8.821665 10.044394 8.544249
8.340000e+12 1.521891 1.710046 0.0000 1.000000 0.639910 8.822546 10.045574 8.545105
8.317000e+12 1.522619 1.710817 0.0000 1.000000 0.639828 8.825114 10.049001 8.547589
8.265000e+12 1.524273 1.712569 0.0000 1.000000 0.639641 8.830945 10.056784 8.553224
8.230000e+12 1.525393 1.713755 0.0000 1.000000 0.639515 8.834896 10.062055 8.557041
8.211000e+12 1.526003 1.714401 0.0000 1.000000 0.639446 8.837046 10.064925 8.559120
8.205000e+12 1.526196 1.714606 0.0000 1.000000 0.639424 8.837722 10.065830 8.559776
8.176000e+12 1.527130 1.715596 0.0000 1.000000 0.639318 8.841007 10.070219 8.562957
8.172000e+12 1.527260 1.715733 0.0000 1.000000 0.639304 8.841471 10.070834 8.563400
8.160000e+12 1.527648 1.716144 0.0000 1.000000 0.639260 8.842837 10.072659 8.564722
8.092000e+12 1.529858 1.718486 0.0000 1.000000 0.639010 8.850612 10.083044 8.572245
8.090000e+12 1.529924 1.718555 0.0000 1.000000 0.639003 8.850851 10.083360 8.572471
8.032000e+12 1.531825 1.720570 0.0000 1.000000 0.638788 8.857532 10.092288 8.578938
7.986000e+12 1.533345 1.722179 0.0000 1.000000 0.638618 8.862888 10.099438 8.584115
7.928000e+12 1.535274 1.724222 0.0000 1.000000 0.638401 8.869675 10.108504 8.590675
7.908000e+12 1.535942 1.724930 0.0000 1.000000 0.638326 8.872020 10.111639 8.592945
7.881000e+12 1.536848 1.725889 0.0000 1.000000 0.638225 8.875210 10.115899 8.596028
7.846000e+12 1.538027 1.727138 0.0000 1.000000 0.638092 8.879353 10.121436 8.600036
7.841000e+12 1.538196 1.727317 0.0000 1.000000 0.638073 8.879947 10.122230 8.600608
7.781000e+12 1.540232 1.729473 0.0000 1.000000 0.637845 8.887105 10.131794 8.607529
7.775000e+12 1.540437 1.729689 0.0000 1.000000 0.637823 8.887834 10.132763 8.608226
7.767000e+12 1.540710 1.729979 0.0000 1.000000 0.637792 8.888786 10.134040 8.609154
7.767000e+12 1.540710 1.729979 0.0000 1.000000 0.637792 8.888786 10.134040 8.609154
7.699000e+12 1.543042 1.732449 0.0000 1.000000 0.637531 8.896976 10.144987 8.617076
7.699000e+12 1.543042 1.732449 0.0000 1.000000 0.637531 8.896976 10.144987 8.617076
7.666000e+12 1.544183 1.733656 0.0000 1.000000 0.637404 8.900993 10.150352 8.620954
7.664000e+12 1.544252 1.733730 0.0000 1.000000 0.637396 8.901228 10.150670 8.621186
7.641000e+12 1.545050 1.734575 0.0000 1.000000 0.637307 8.904031 10.154416 8.623895
7.641000e+12 1.545050 1.734575 0.0000 1.000000 0.637307 8.904031 10.154416 8.623895
7.631000e+12 1.545398 1.734943 0.0000 1.000000 0.637268 8.905257 10.156053 8.625077
7.620000e+12 1.545781 1.735349 0.0000 1.000000 0.637225 8.906598 10.157847 8.626379
7.610000e+12 1.546130 1.735718 0.0000 1.000000 0.637186 8.907827 10.159489 8.627565
7.558000e+12 1.547952 1.737647 0.0000 1.000000 0.636983 8.914225 10.168041 8.633748
7.536000e+12 1.548727 1.738468 0.0000 1.000000 0.636897 8.916942 10.171676 8.636377
7.490000e+12 1.550355 1.740192 0.0000 1.000000 0.636715 8.922652 10.179312 8.641900
7.469000e+12 1.551102 1.740982 0.0000 1.000000 0.636633 8.925279 10.182822 8.644435
7.465000e+12 1.551245 1.741133 0.0000 1.000000 0.636617 8.925784 10.183496 8.644923
7.459000e+12 1.551459 1.741360 0.0000 1.000000 0.636593 8.926532 10.184497 8.645647
7.438000e+12 1.552209 1.742154 0.0000 1.000000 0.636510 8.929163 10.188016 8.648189
7.413000e+12 1.553105 1.743103 0.0000 1.000000 0.636410 8.932302 10.192216 8.651227
7.403000e+12 1.553465 1.743483 0.0000 1.000000 0.636371 8.933573 10.193911 8.652450
